Total turns: 1934
Opus: 978, Jake: 956

--- Speaker turn sequence ---
  Turn 000 | Jake  |    16 words
  Turn 001 | Opus  |   399 words
  Turn 002 | Jake  |   138 words
  Turn 003 | Opus  |   395 words
  Turn 004 | Jake  |    41 words
  Turn 005 | Opus  |   995 words
  Turn 006 | Jake  |    64 words
  Turn 007 | Opus  |   710 words
  Turn 008 | Jake  |     7 words
  Turn 009 | Opus  |   414 words
  Turn 010 | Jake  |     8 words
  Turn 011 | Opus  |   221 words
  Turn 012 | Jake  |    77 words
  Turn 013 | Opus  |   310 words
  Turn 014 | Jake  |    15 words
  Turn 015 | Opus  |   284 words
  Turn 016 | Jake  |    23 words
  Turn 017 | Opus  |   477 words
  Turn 018 | Jake  |    24 words
  Turn 019 | Opus  |   400 words
  Turn 020 | Jake  |   359 words
  Turn 021 | Opus  |  1180 words
  Turn 022 | Jake  |    23 words
  Turn 023 | Opus  |   277 words
  Turn 024 | Jake  |    33 words
  Turn 025 | Opus  |   284 words
  Turn 026 | Jake  |    19 words
  Turn 027 | Opus  |   268 words
  Turn 028 | Jake  |     9 words
  Turn 029 | Opus  |   320 words
  Turn 030 | Opus  |   142 words
  Turn 031 | Jake  |    41 words
  Turn 032 | Opus  |   206 words
  Turn 033 | Jake  |    12 words
  Turn 034 | Opus  |    74 words
  Turn 035 | Jake  |    17 words
  Turn 036 | Opus  |   175 words
  Turn 037 | Jake  |    16 words
  Turn 038 | Opus  |   229 words
  Turn 039 | Jake  |    55 words
  Turn 040 | Opus  |   210 words
  Turn 041 | Jake  |    12 words
  Turn 042 | Opus  |   138 words
  Turn 043 | Jake  |   228 words
  Turn 044 | Opus  |   245 words
  Turn 045 | Jake  |    16 words
  Turn 046 | Opus  |   120 words
  Turn 047 | Jake  |    12 words
  Turn 048 | Opus  |   322 words
  Turn 049 | Jake  |    29 words
  Turn 050 | Opus  |   155 words
  Turn 051 | Jake  |   117 words
  Turn 052 | Opus  |   268 words
  Turn 053 | Jake  |   159 words
  Turn 054 | Opus  |   196 words
  Turn 055 | Jake  |    12 words
  Turn 056 | Opus  |   270 words
  Turn 057 | Jake  |   182 words
  Turn 058 | Opus  |   278 words
  Turn 059 | Jake  |    30 words
  Turn 060 | Opus  |    80 words
  Turn 061 | Jake  |    26 words
  Turn 062 | Opus  |   116 words
  Turn 063 | Jake  |    17 words
  Turn 064 | Opus  |    90 words
  Turn 065 | Jake  |    33 words
  Turn 066 | Opus  |    99 words
  Turn 067 | Jake  |    27 words
  Turn 068 | Opus  |    62 words
  Turn 069 | Jake  |    84 words
  Turn 070 | Opus  |   231 words
  Turn 071 | Jake  |    74 words
  Turn 072 | Opus  |   242 words
  Turn 073 | Jake  |    52 words
  Turn 074 | Opus  |   246 words
  Turn 075 | Jake  |   375 words
  Turn 076 | Opus  |   210 words
  Turn 077 | Jake  |    20 words
  Turn 078 | Opus  |   134 words
  Turn 079 | Jake  |    19 words
  Turn 080 | Opus  |   163 words
  Turn 081 | Jake  |    36 words
  Turn 082 | Opus  |   213 words
  Turn 083 | Jake  |    75 words
  Turn 084 | Opus  |   152 words
  Turn 085 | Jake  |    40 words
  Turn 086 | Opus  |   176 words
  Turn 087 | Jake  |    39 words
  Turn 088 | Opus  |   257 words
  Turn 089 | Jake  |    15 words
  Turn 090 | Opus  |   205 words
  Turn 091 | Jake  |   137 words
  Turn 092 | Opus  |   170 words
  Turn 093 | Jake  |    32 words
  Turn 094 | Opus  |   192 words
  Turn 095 | Jake  |    51 words
  Turn 096 | Opus  |   158 words
  Turn 097 | Jake  |   238 words
  Turn 098 | Opus  |   213 words
  Turn 099 | Jake  |    11 words
  Turn 100 | Opus  |    56 words
  Turn 101 | Jake  |   181 words
  Turn 102 | Opus  |   144 words
  Turn 103 | Jake  |    49 words
  Turn 104 | Opus  |   303 words
  Turn 105 | Jake  |    27 words
  Turn 106 | Opus  |   267 words
  Turn 107 | Jake  |    35 words
  Turn 108 | Opus  |   301 words
  Turn 109 | Jake  |    18 words
  Turn 110 | Opus  |   200 words
  Turn 111 | Jake  |   149 words
  Turn 112 | Opus  |   354 words
  Turn 113 | Opus  |   213 words
  Turn 114 | Jake  |    10 words
  Turn 115 | Opus  |   114 words
